profit,type,entry_price,slope_1,slope_2,laminar,bandwidth_factor,rsi
12.5,0,50000.2,0.0012,0.0008,0.85,0.92,58.2
-8.3,1,50100.5,-0.0005,-0.0003,-0.72,1.15,42.1
5.2,0,49980.1,0.0009,0.0006,0.78,0.88,62.0
-15.0,1,50200.0,-0.0010,-0.0007,-0.90,1.22,38.5
22.1,0,49850.0,0.0015,0.0010,0.92,0.85,65.3
-3.1,1,50050.0,-0.0002,-0.0001,-0.45,1.05,48.0
7.8,0,50020.0,0.0008,0.0005,0.70,0.95,55.0
-9.2,1,50150.0,-0.0007,-0.0004,-0.80,1.18,40.2
18.4,0,49900.0,0.0011,0.0007,0.88,0.90,60.1
-6.0,1,50080.0,-0.0004,-0.0002,-0.65,1.08,45.0
